alert_id,transaction_id,alert_timestamp,alert_type,alert_score,investigation_status,confirmed_fraud_flag,investigator_id
9000035,1000523,2026-08-24 08:10:10,RISK_SCORE,47.08,OPEN,N,INV0061
9000036,1000526,2026-04-17 02:28:02,GEO_ANOMALY,24.39,OPEN,N,INV0057
9000037,1000533,2026-04-14 04:19:35,RISK_SCORE,28.19,CLOSED,N,INV0005
9000038,1000534,2026-02-26 15:35:39,DEVICE_MISMATCH,63.84,CLOSED,N,INV0061
9000039,1000536,2026-01-22 13:13:49,GEO_ANOMALY,7.19,CLOSED,N,INV0087
9000040,1000537,2026-08-05 09:57:08,RISK_SCORE,21.71,CLOSED,N,INV0044
9000041,1000551,2026-05-13 18:48:45,RISK_SCORE,48.7,ESCALATED,Y,INV0004
9000042,1000599,2026-07-01 03:42:06,VELOCITY,38.7,CLOSED,N,INV0059
9000043,1000620,2026-06-18 02:45:03,HIGH_VALUE,20.27,CLOSED,N,INV0019
9000044,1000641,2026-05-16 19:31:54,DEVICE_MISMATCH,47.55,OPEN,N,INV0025
9000045,1000644,2026-05-06 21:27:54,VELOCITY,39.77,OPEN,N,INV0095
9000046,1000649,2026-04-06 09:31:47,DEVICE_MISMATCH,24.36,OPEN,N,INV0052
9000047,1000659,2026-05-13 18:01:44,DEVICE_MISMATCH,38.67,OPEN,N,INV0099
9000048,1000662,2026-08-07 02:06:33,GEO_ANOMALY,58.28,CLOSED,Y,INV0092
9000049,1000697,2026-07-02 03:56:02,VELOCITY,38.33,ESCALATED,N,INV0087
9000050,1000707,2026-02-11 19:40:35,HIGH_VALUE,42.82,ESCALATED,N,INV0040
9000051,1000710,2026-04-20 22:59:27,VELOCITY,56.64,ESCALATED,Y,INV0026
9000052,1000740,2026-08-09 21:55:29,DEVICE_MISMATCH,64.46,OPEN,N,INV0090
9000053,1000751,2026-04-06 16:03:23,HIGH_VALUE,29.48,OPEN,N,INV0080
9000054,1000826,2026-01-08 04:08:55,GEO_ANOMALY,74.97,CLOSED,N,INV0041
9000055,1000835,2026-07-27 10:56:46,RISK_SCORE,28.29,CLOSED,N,INV0047
9000056,1000837,2026-06-21 19:58:08,GEO_ANOMALY,56.66,CLOSED,N,INV0023
9000057,1000843,2026-06-29 03:23:04,DEVICE_MISMATCH,42.95,OPEN,N,INV0043
9000058,1000861,2026-03-21 22:15:50,GEO_ANOMALY,36.83,CLOSED,N,INV0037
9000059,1000863,2026-07-10 21:47:51,VELOCITY,40.48,ESCALATED,Y,INV0083
9000060,1000866,2026-01-27 16:22:40,DEVICE_MISMATCH,26.28,CLOSED,N,INV0041
9000061,1000878,2026-05-17 04:12:08,RISK_SCORE,39.02,CLOSED,N,INV0089
9000062,1000884,2026-07-01 01:50:07,GEO_ANOMALY,31.05,CLOSED,N,INV0053
9000063,1000908,2026-01-15 06:17:11,VELOCITY,50.45,OPEN,N,INV0052
9000064,1000927,2026-08-04 19:43:21,RISK_SCORE,77.41,ESCALATED,N,INV0087
9000065,1000933,2026-02-17 03:49:15,GEO_ANOMALY,30.31,CLOSED,N,INV0064
9000066,1000954,2026-02-02 02:17:31,HIGH_VALUE,40.17,CLOSED,N,INV0080
9000067,1001032,2026-01-21 04:57:01,GEO_ANOMALY,0.0,CLOSED,N,INV0004
9000068,1001037,2026-07-18 15:35:54,DEVICE_MISMATCH,38.36,OPEN,Y,INV0030
9000069,1001064,2026-08-19 17:42:35,DEVICE_MISMATCH,48.28,CLOSED,N,INV0096
9000070,1001075,2026-05-24 12:35:38,GEO_ANOMALY,24.44,ESCALATED,N,INV0069
9000071,1001121,2026-05-04 10:38:45,DEVICE_MISMATCH,34.06,OPEN,N,INV0076
9000072,1001148,2026-01-19 05:00:09,VELOCITY,47.98,CLOSED,Y,INV0085
9000073,1001185,2026-03-22 01:01:07,DEVICE_MISMATCH,62.01,CLOSED,N,INV0091
9000074,1001204,2026-04-20 11:03:11,DEVICE_MISMATCH,42.56,OPEN,N,INV0029
9000075,1001205,2026-08-23 23:42:21,RISK_SCORE,51.91,CLOSED,N,INV0080
9000076,1001218,2026-04-09 09:11:16,HIGH_VALUE,25.13,OPEN,N,INV0034
9000077,1001251,2026-07-05 01:55:02,GEO_ANOMALY,66.53,ESCALATED,N,INV0080
9000078,1001263,2026-04-14 12:15:01,RISK_SCORE,15.95,OPEN,Y,INV0041
9000079,1001272,2026-01-10 08:18:59,RISK_SCORE,28.74,CLOSED,N,INV0070
9000080,1001312,2026-02-19 02:02:05,GEO_ANOMALY,52.61,CLOSED,Y,INV0001
9000081,1001327,2026-02-05 02:43:08,DEVICE_MISMATCH,21.65,OPEN,N,INV0002
9000082,1001329,2026-04-08 20:08:00,GEO_ANOMALY,56.1,CLOSED,N,INV0070
9000083,1001359,2026-07-04 19:23:56,GEO_ANOMALY,26.6,CLOSED,N,INV0051
9000084,1001370,2026-01-19 16:55:44,VELOCITY,62.14,CLOSED,N,INV0010
9000085,1001389,2026-04-03 05:59:31,GEO_ANOMALY,51.17,OPEN,N,INV0030
9000086,1001407,2026-01-17 07:05:38,VELOCITY,47.04,ESCALATED,N,INV0054
9000087,1001444,2026-05-11 07:14:06,HIGH_VALUE,29.7,CLOSED,N,INV0059
9000088,1001466,2026-02-22 02:31:05,HIGH_VALUE,98.76,CLOSED,N,INV0016
9000089,1001488,2026-08-06 05:01:05,GEO_ANOMALY,29.61,CLOSED,N,INV0096
9000090,1001511,2026-06-12 04:39:38,VELOCITY,92.13,CLOSED,Y,INV0046
9000091,1001516,2026-01-22 02:11:40,VELOCITY,46.52,CLOSED,N,INV0066
9000092,1001531,2026-07-03 13:45:10,RISK_SCORE,47.03,CLOSED,N,INV0057
9000093,1001540,2026-01-25 08:52:55,HIGH_VALUE,37.82,OPEN,Y,INV0003
9000094,1001545,2026-07-06 04:59:41,VELOCITY,41.74,OPEN,N,INV0074
9000095,1001565,2026-03-06 03:22:07,DEVICE_MISMATCH,20.27,CLOSED,N,INV0015
9000096,1001572,2026-07-11 02:06:50,DEVICE_MISMATCH,27.15,CLOSED,N,INV0043
9000097,1001596,2026-04-13 11:48:46,VELOCITY,73.32,CLOSED,N,INV0067
9000098,1001599,2026-03-30 23:13:14,DEVICE_MISMATCH,63.11,OPEN,N,INV0030
9000099,1001611,2026-01-25 14:05:06,RISK_SCORE,34.35,CLOSED,N,INV0030
9000100,1001614,2026-04-11 01:24:23,DEVICE_MISMATCH,60.32,CLOSED,Y,INV0006
9000101,1001639,2026-03-24 21:34:15,VELOCITY,11.91,OPEN,N,INV0088
9000102,1001642,2026-05-21 04:21:22,DEVICE_MISMATCH,57.07,ESCALATED,N,INV0077
9000103,1001665,2026-05-24 11:58:58,DEVICE_MISMATCH,79.25,OPEN,Y,INV0024
9000104,1001674,2026-02-08 15:47:07,GEO_ANOMALY,10.95,OPEN,N,INV0034
9000105,1001686,2026-03-05 09:33:36,RISK_SCORE,44.13,OPEN,N,INV0044
9000106,1001687,2026-08-27 04:07:44,VELOCITY,65.67,CLOSED,N,INV0012
9000107,1001717,2026-06-22 07:41:25,GEO_ANOMALY,39.35,OPEN,N,INV0052
9000108,1001722,2026-08-04 13:19:42,DEVICE_MISMATCH,9.67,OPEN,Y,INV0061
9000109,1001735,2026-07-17 22:09:03,VELOCITY,56.3,CLOSED,N,INV0018
9000110,1001750,2026-03-14 02:56:13,HIGH_VALUE,74.21,CLOSED,N,INV0067
9000111,1001773,2026-06-06 15:20:48,HIGH_VALUE,61.13,OPEN,N,INV0098
9000112,1001791,2026-02-20 00:43:04,DEVICE_MISMATCH,84.45,CLOSED,Y,INV0024
9000113,1001828,2026-01-23 00:10:31,GEO_ANOMALY,51.06,OPEN,N,INV0011
9000114,1001844,2026-02-07 11:22:03,RISK_SCORE,23.68,CLOSED,N,INV0045
9000115,1001852,2026-07-31 11:58:46,VELOCITY,40.34,OPEN,N,INV0074
9000116,1001855,2026-02-04 10:51:29,VELOCITY,28.84,OPEN,Y,INV0070
9000117,1001875,2026-07-02 21:43:11,RISK_SCORE,37.17,OPEN,N,INV0061
9000118,1001881,2026-07-26 17:24:50,VELOCITY,45.87,CLOSED,Y,INV0007
9000119,1001940,2026-05-18 04:09:21,DEVICE_MISMATCH,21.54,OPEN,N,INV0074
9000120,1001945,2026-05-14 06:35:29,DEVICE_MISMATCH,18.07,CLOSED,N,INV0033
9000121,1001964,2026-08-03 13:19:43,DEVICE_MISMATCH,38.73,ESCALATED,Y,INV0032
9000122,1001984,2026-05-11 01:57:22,VELOCITY,73.38,CLOSED,N,INV0051
9000123,1002001,2026-01-17 07:35:16,DEVICE_MISMATCH,0.0,CLOSED,N,INV0048
9000124,1002052,2026-06-05 17:05:32,DEVICE_MISMATCH,45.81,OPEN,N,INV0029
9000125,1002078,2026-01-28 03:38:44,DEVICE_MISMATCH,29.54,OPEN,N,INV0069
9000126,1002092,2026-05-12 19:31:45,GEO_ANOMALY,16.43,CLOSED,N,INV0100
9000127,1002096,2026-04-10 02:18:06,DEVICE_MISMATCH,45.23,OPEN,N,INV0054
9000128,1002153,2026-02-09 17:06:19,RISK_SCORE,66.13,CLOSED,N,INV0096
9000129,1002168,2026-04-03 14:23:11,GEO_ANOMALY,47.11,CLOSED,Y,INV0024
9000130,1002179,2026-04-07 15:02:07,DEVICE_MISMATCH,58.9,OPEN,N,INV0069
9000131,1002183,2026-05-07 11:21:12,DEVICE_MISMATCH,21.93,CLOSED,N,INV0087
9000132,1002211,2026-06-15 13:17:14,RISK_SCORE,49.18,OPEN,Y,INV0072
9000133,1002246,2026-04-10 13:38:13,HIGH_VALUE,47.66,CLOSED,N,INV0077
9000134,1002268,2026-01-25 19:29:03,VELOCITY,9.94,CLOSED,N,INV0018
9000135,1002271,2026-07-29 12:01:53,HIGH_VALUE,19.47,CLOSED,N,INV0080
9000136,1002275,2026-07-10 16:06:30,VELOCITY,52.13,OPEN,N,INV0088
9000137,1002293,2026-01-12 12:53:02,VELOCITY,49.76,CLOSED,N,INV0024
9000138,1002300,2026-05-13 04:57:37,RISK_SCORE,70.3,CLOSED,N,INV0018
9000139,1002311,2026-07-09 03:01:08,DEVICE_MISMATCH,7.73,CLOSED,N,INV0098
9000140,1002344,2026-03-06 20:41:26,HIGH_VALUE,37.2,OPEN,N,INV0042
9000141,1002345,2026-03-07 05:17:25,RISK_SCORE,55.12,CLOSED,N,INV0070
9000142,1002358,2026-05-26 16:11:27,VELOCITY,67.46,OPEN,N,INV0033
9000143,1002389,2026-01-25 01:21:00,RISK_SCORE,57.24,OPEN,N,INV0029
9000144,1002393,2026-03-01 01:12:21,GEO_ANOMALY,34.16,CLOSED,Y,INV0098
9000145,1002395,2026-04-24 20:47:16,DEVICE_MISMATCH,28.76,CLOSED,N,INV0055
9000146,1002404,2026-03-18 19:30:15,HIGH_VALUE,12.97,CLOSED,N,INV0070
9000147,1002435,2026-06-09 12:22:57,HIGH_VALUE,74.15,OPEN,Y,INV0064
9000148,1002455,2026-06-29 05:30:47,DEVICE_MISMATCH,35.09,ESCALATED,N,INV0011
9000149,1002465,2026-07-20 16:27:53,HIGH_VALUE,34.36,OPEN,N,INV0099
9000150,1002469,2026-01-05 22:54:45,DEVICE_MISMATCH,43.83,CLOSED,N,INV0023
9000151,1002481,2026-01-14 15:08:24,VELOCITY,18.29,OPEN,N,INV0035
9000152,1002487,2026-06-24 11:07:14,RISK_SCORE,32.88,ESCALATED,N,INV0088
9000153,1002489,2026-06-07 05:44:29,RISK_SCORE,71.08,OPEN,Y,INV0001
9000154,1002504,2026-03-05 13:54:09,RISK_SCORE,26.16,OPEN,N,INV0029
9000155,1002505,2026-01-28 20:38:25,DEVICE_MISMATCH,48.75,CLOSED,N,INV0089
9000156,1002562,2026-07-25 06:22:00,DEVICE_MISMATCH,50.1,OPEN,N,INV0079
9000157,1002564,2026-05-16 18:09:27,DEVICE_MISMATCH,89.03,CLOSED,Y,INV0059
9000158,1002568,2026-06-16 22:23:07,GEO_ANOMALY,40.75,CLOSED,N,INV0033
9000159,1002569,2026-01-28 12:52:47,RISK_SCORE,39.47,OPEN,N,INV0080
9000160,1002575,2026-05-10 03:08:35,VELOCITY,56.62,ESCALATED,N,INV0087
9000161,1002579,2026-07-15 22:44:01,HIGH_VALUE,49.55,CLOSED,N,INV0008
9000162,1002597,2026-07-28 12:46:16,HIGH_VALUE,31.5,OPEN,N,INV0084
9000163,1002615,2026-06-06 08:12:05,GEO_ANOMALY,34.05,CLOSED,N,INV0022
9000164,1002641,2026-05-11 22:05:08,GEO_ANOMALY,65.72,CLOSED,N,INV0062
9000165,1002650,2026-01-24 12:59:01,DEVICE_MISMATCH,53.32,OPEN,N,INV0008
9000166,1002667,2026-01-04 20:08:02,GEO_ANOMALY,26.36,CLOSED,N,INV0098
9000167,1002669,2026-02-20 07:01:14,GEO_ANOMALY,24.9,CLOSED,N,INV0085
9000168,1002671,2026-01-05 10:43:56,DEVICE_MISMATCH,24.97,OPEN,N,INV0002
9000169,1002674,2026-01-06 10:02:50,GEO_ANOMALY,88.72,CLOSED,N,INV0053
9000170,1002675,2026-04-26 14:00:31,DEVICE_MISMATCH,34.34,CLOSED,N,INV0066
9000171,1002707,2026-05-12 02:55:29,RISK_SCORE,4.84,OPEN,N,INV0010
9000172,1002709,2026-07-27 20:42:24,RISK_SCORE,75.73,CLOSED,N,INV0006
9000173,1002727,2026-06-03 13:12:24,HIGH_VALUE,51.3,CLOSED,N,INV0016
9000174,1002748,2026-07-29 12:01:06,HIGH_VALUE,26.69,CLOSED,N,INV0074
9000175,1002752,2026-07-19 17:19:21,HIGH_VALUE,54.51,OPEN,N,INV0014
9000176,1002755,2026-08-24 20:36:50,GEO_ANOMALY,91.51,OPEN,N,INV0043
9000177,1002781,2026-02-17 02:51:35,DEVICE_MISMATCH,52.56,CLOSED,N,INV0088
9000178,1002791,2026-05-12 21:32:01,DEVICE_MISMATCH,49.69,CLOSED,N,INV0022
9000179,1002792,2026-07-22 18:53:45,GEO_ANOMALY,85.63,CLOSED,N,INV0095
9000180,1002830,2026-08-16 18:01:18,DEVICE_MISMATCH,59.17,CLOSED,Y,INV0048
9000181,1002897,2026-05-07 01:21:20,HIGH_VALUE,30.76,OPEN,N,INV0086
9000182,1002915,2026-05-11 11:01:16,GEO_ANOMALY,54.36,OPEN,N,INV0012
9000183,1002939,2026-04-27 06:49:20,GEO_ANOMALY,29.95,OPEN,N,INV0020
9000184,1002973,2026-05-10 22:38:45,RISK_SCORE,14.88,OPEN,N,INV0019
9000185,1002982,2026-06-28 19:11:40,RISK_SCORE,28.63,OPEN,N,INV0051
9000186,1002990,2026-07-13 10:43:21,RISK_SCORE,29.09,CLOSED,N,INV0018
9000187,1003014,2026-05-30 00:57:49,RISK_SCORE,38.47,CLOSED,Y,INV0031
9000188,1003073,2026-06-19 06:17:32,RISK_SCORE,51.99,OPEN,Y,INV0092
9000189,1003077,2026-08-02 18:59:44,RISK_SCORE,61.75,ESCALATED,N,INV0066
9000190,1003090,2026-08-06 21:10:05,HIGH_VALUE,70.82,CLOSED,Y,INV0045
9000191,1003100,2026-02-02 14:39:37,GEO_ANOMALY,72.98,CLOSED,N,INV0005
9000192,1003101,2026-07-03 00:40:16,GEO_ANOMALY,56.99,ESCALATED,N,INV0054
9000193,1003129,2026-04-04 13:58:23,RISK_SCORE,46.47,CLOSED,Y,INV0077
9000194,1003154,2026-05-12 07:46:55,RISK_SCORE,32.27,CLOSED,N,INV0065
9000195,1003185,2026-03-02 04:25:32,HIGH_VALUE,27.85,OPEN,N,INV0082
9000196,1003188,2026-04-26 20:46:54,GEO_ANOMALY,43.64,OPEN,N,INV0088
9000197,1003223,2026-08-04 04:44:14,GEO_ANOMALY,20.98,CLOSED,N,INV0037
9000198,1003250,2026-01-15 10:29:58,GEO_ANOMALY,42.56,CLOSED,N,INV0067
9000199,1003267,2026-08-27 19:08:45,DEVICE_MISMATCH,22.74,ESCALATED,N,INV0030
9000200,1003292,2026-08-13 11:27:17,DEVICE_MISMATCH,71.83,CLOSED,N,INV0010
9000201,1003314,2026-02-09 09:11:56,VELOCITY,38.09,CLOSED,N,INV0096
9000202,1003316,2026-02-21 16:47:45,VELOCITY,21.74,OPEN,Y,INV0095
9000203,1003353,2026-03-11 20:43:12,GEO_ANOMALY,66.1,OPEN,N,INV0047
9000204,1003399,2026-08-22 08:58:04,VELOCITY,52.94,OPEN,N,INV0047
9000205,1003424,2026-04-26 15:57:27,HIGH_VALUE,37.16,OPEN,Y,INV0015
9000206,1003453,2026-02-19 05:10:41,DEVICE_MISMATCH,14.45,ESCALATED,N,INV0097
9000207,1003461,2026-01-13 18:56:51,RISK_SCORE,76.97,CLOSED,N,INV0078
9000208,1003462,2026-07-21 11:11:55,GEO_ANOMALY,45.56,CLOSED,Y,INV0095
9000209,1003502,2026-01-23 11:59:04,HIGH_VALUE,27.62,CLOSED,N,INV0062
9000210,1003526,2026-04-22 10:16:57,DEVICE_MISMATCH,39.95,OPEN,N,INV0021
9000211,1003546,2026-03-13 16:47:45,VELOCITY,45.11,OPEN,N,INV0004
9000212,1003552,2026-03-14 20:29:32,GEO_ANOMALY,41.18,CLOSED,N,INV0067
9000213,1003553,2026-03-14 14:56:13,RISK_SCORE,27.88,CLOSED,N,INV0032
9000214,1003562,2026-01-08 05:52:39,RISK_SCORE,37.92,ESCALATED,Y,INV0020
9000215,1003564,2026-03-05 09:06:19,VELOCITY,34.23,CLOSED,N,INV0055
9000216,1003575,2026-06-16 19:30:49,GEO_ANOMALY,43.56,CLOSED,N,INV0089
9000217,1003593,2026-02-12 14:57:48,GEO_ANOMALY,28.27,CLOSED,N,INV0087
9000218,1003595,2026-01-04 08:00:40,DEVICE_MISMATCH,44.04,ESCALATED,N,INV0041
9000219,1003603,2026-03-15 19:31:54,GEO_ANOMALY,67.14,CLOSED,Y,INV0071
9000220,1003619,2026-07-23 02:06:17,GEO_ANOMALY,45.46,CLOSED,N,INV0074
9000221,1003646,2026-02-24 21:29:56,RISK_SCORE,63.58,OPEN,N,INV0091
9000222,1003647,2026-07-26 09:45:22,HIGH_VALUE,47.3,ESCALATED,N,INV0071
9000223,1003656,2026-04-01 21:05:20,HIGH_VALUE,49.83,CLOSED,N,INV0012
9000224,1003659,2026-07-17 08:43:45,RISK_SCORE,27.89,OPEN,N,INV0064
9000225,1003660,2026-04-22 06:47:28,RISK_SCORE,47.58,CLOSED,N,INV0052
9000226,1003665,2026-02-05 21:46:28,DEVICE_MISMATCH,28.83,CLOSED,N,INV0023
9000227,1003670,2026-06-04 16:06:06,VELOCITY,47.94,CLOSED,N,INV0099
9000228,1003675,2026-06-25 02:43:42,RISK_SCORE,43.07,CLOSED,N,INV0071
9000229,1003699,2026-06-22 06:08:20,DEVICE_MISMATCH,39.59,CLOSED,N,INV0067
9000230,1003709,2026-03-21 11:55:49,DEVICE_MISMATCH,51.4,OPEN,N,INV0075
9000231,1003726,2026-05-02 06:35:13,GEO_ANOMALY,47.17,OPEN,N,INV0093
9000232,1003745,2026-08-25 03:09:37,GEO_ANOMALY,66.63,ESCALATED,Y,INV0038
9000233,1003756,2026-06-04 15:41:27,DEVICE_MISMATCH,31.81,CLOSED,N,INV0014
9000234,1003758,2026-07-22 06:07:10,RISK_SCORE,49.73,ESCALATED,N,INV0038
9000235,1003765,2026-02-11 03:17:57,DEVICE_MISMATCH,0.0,OPEN,N,INV0049
9000236,1003776,2026-04-24 00:36:29,VELOCITY,25.73,CLOSED,N,INV0012
9000237,1003778,2026-07-05 06:01:58,RISK_SCORE,39.93,CLOSED,N,INV0094
9000238,1003803,2026-05-21 13:00:03,RISK_SCORE,18.33,CLOSED,N,INV0062
9000239,1003812,2026-08-09 07:23:58,VELOCITY,100.0,CLOSED,N,INV0054
9000240,1003814,2026-07-28 15:35:21,HIGH_VALUE,62.65,CLOSED,N,INV0034
9000241,1003838,2026-02-14 06:00:32,DEVICE_MISMATCH,43.57,OPEN,Y,INV0067
9000242,1003854,2026-08-13 12:23:16,DEVICE_MISMATCH,50.31,OPEN,N,INV0005
9000243,1003871,2026-07-07 13:01:05,RISK_SCORE,23.45,CLOSED,N,INV0092
9000244,1003905,2026-05-20 00:44:16,GEO_ANOMALY,42.75,CLOSED,N,INV0021
9000245,1003906,2026-04-18 06:10:07,RISK_SCORE,53.87,CLOSED,N,INV0087
9000246,1003933,2026-04-01 22:50:45,RISK_SCORE,28.26,OPEN,Y,INV0028
9000247,1003934,2026-08-09 20:43:23,DEVICE_MISMATCH,24.02,ESCALATED,Y,INV0073
9000248,1003953,2026-07-14 02:05:46,GEO_ANOMALY,29.53,CLOSED,Y,INV0027
9000249,1003973,2026-07-21 15:30:11,DEVICE_MISMATCH,93.62,OPEN,N,INV0077
9000250,1003993,2026-01-31 11:35:30,GEO_ANOMALY,53.5,OPEN,Y,INV0013
9000251,1003996,2026-07-22 03:27:28,DEVICE_MISMATCH,82.37,CLOSED,N,INV0060
9000252,1004003,2026-04-06 11:50:44,DEVICE_MISMATCH,56.67,OPEN,Y,INV0036
9000253,1004008,2026-07-19 20:00:33,HIGH_VALUE,23.1,OPEN,N,INV0046
9000254,1004017,2026-03-12 05:42:49,HIGH_VALUE,99.58,CLOSED,N,INV0071
9000255,1004027,2026-05-04 08:58:51,GEO_ANOMALY,40.22,CLOSED,N,INV0059
9000256,1004033,2026-04-06 21:00:05,RISK_SCORE,45.41,CLOSED,Y,INV0025
9000257,1004056,2026-02-22 10:13:08,RISK_SCORE,48.4,CLOSED,N,INV0093
9000258,1004063,2026-02-12 14:40:58,GEO_ANOMALY,50.36,ESCALATED,N,INV0049
9000259,1004074,2026-02-22 17:36:31,HIGH_VALUE,23.76,OPEN,N,INV0013
9000260,1004083,2026-01-14 02:10:22,GEO_ANOMALY,23.98,CLOSED,N,INV0052
9000261,1004089,2026-07-10 03:34:39,RISK_SCORE,69.9,OPEN,N,INV0023
9000262,1004091,2026-06-26 17:11:14,HIGH_VALUE,41.11,OPEN,N,INV0080
9000263,1004123,2026-05-31 16:46:22,GEO_ANOMALY,48.06,OPEN,N,INV0001
9000264,1004143,2026-04-01 10:14:34,HIGH_VALUE,60.41,OPEN,N,INV0069
9000265,1004164,2026-02-01 16:30:44,HIGH_VALUE,7.16,CLOSED,N,INV0084
9000266,1004165,2026-01-09 17:19:46,RISK_SCORE,83.67,CLOSED,Y,INV0093
9000267,1004195,2026-02-13 15:19:32,GEO_ANOMALY,70.39,CLOSED,Y,INV0095
9000268,1004202,2026-07-04 14:59:06,HIGH_VALUE,63.22,OPEN,Y,INV0015
9000269,1004207,2026-05-20 14:58:41,VELOCITY,10.07,CLOSED,N,INV0050
9000270,1004218,2026-01-11 13:49:01,GEO_ANOMALY,55.4,CLOSED,Y,INV0051
9000271,1004231,2026-02-18 00:27:48,VELOCITY,71.87,CLOSED,Y,INV0002
9000272,1004309,2026-08-25 01:41:55,VELOCITY,33.22,CLOSED,N,INV0098
9000273,1004355,2026-04-11 11:00:55,GEO_ANOMALY,45.78,CLOSED,N,INV0070
9000274,1004363,2026-01-29 13:21:11,DEVICE_MISMATCH,69.66,OPEN,Y,INV0015
9000275,1004378,2026-01-12 15:52:12,DEVICE_MISMATCH,96.92,OPEN,Y,INV0018
9000276,1004379,2026-03-17 06:10:13,DEVICE_MISMATCH,56.09,CLOSED,N,INV0061
9000277,1004404,2026-04-15 14:23:36,DEVICE_MISMATCH,38.46,CLOSED,N,INV0029
9000278,1004405,2026-04-03 21:57:24,DEVICE_MISMATCH,43.54,CLOSED,N,INV0050
9000279,1004414,2026-05-11 17:28:02,GEO_ANOMALY,54.93,ESCALATED,N,INV0074
9000280,1004425,2026-03-25 01:15:45,GEO_ANOMALY,26.16,CLOSED,N,INV0007
9000281,1004453,2026-06-13 02:17:27,VELOCITY,62.83,CLOSED,Y,INV0083
9000282,1004457,2026-08-02 21:24:20,GEO_ANOMALY,79.09,OPEN,Y,INV0099
9000283,1004461,2026-03-02 22:23:31,RISK_SCORE,74.47,CLOSED,N,INV0094
9000284,1004491,2026-06-30 16:19:43,GEO_ANOMALY,56.01,CLOSED,Y,INV0081
9000285,1004493,2026-05-02 02:19:55,GEO_ANOMALY,100.0,OPEN,N,INV0040
9000286,1004516,2026-02-09 12:13:12,HIGH_VALUE,60.71,CLOSED,Y,INV0043
9000287,1004517,2026-01-08 01:40:51,VELOCITY,9.07,CLOSED,N,INV0014
9000288,1004518,2026-05-28 20:34:54,RISK_SCORE,23.35,CLOSED,N,INV0021
