merchant_id,merchant_name,merchant_category,merchant_city,merchant_risk_rating
M0175,Merchant_0175,GROCERY,Hyderabad,LOW
M0176,Merchant_0176,RESTAURANT,Bangalore,LOW
M0177,Merchant_0177,FUEL,Bangalore,LOW
M0178,Merchant_0178,ELECTRONICS,Chennai,LOW
M0179,Merchant_0179,UTILITIES,Pune,HIGH
M0180,Merchant_0180,EDUCATION,Bangalore,MEDIUM
M0181,Merchant_0181,HEALTHCARE,Delhi,LOW
M0182,Merchant_0182,ENTERTAINMENT,Hyderabad,MEDIUM
M0183,Merchant_0183,GROCERY,Kolkata,MEDIUM
M0184,Merchant_0184,TRAVEL,Mumbai,LOW
M0185,Merchant_0185,ELECTRONICS,Pune,LOW
M0186,Merchant_0186,E_COMMERCE,Mumbai,LOW
M0187,Merchant_0187,TRAVEL,Delhi,LOW
M0188,Merchant_0188,UTILITIES,Delhi,LOW
M0189,Merchant_0189,UTILITIES,Kolkata,LOW
M0190,Merchant_0190,ENTERTAINMENT,Pune,LOW
M0191,Merchant_0191,RESTAURANT,Kolkata,LOW
M0192,Merchant_0192,E_COMMERCE,Mumbai,LOW
M0193,Merchant_0193,HEALTHCARE,Hyderabad,LOW
M0194,Merchant_0194,RESTAURANT,Chennai,HIGH
M0195,Merchant_0195,EDUCATION,Hyderabad,MEDIUM
M0196,Merchant_0196,TRAVEL,Chennai,MEDIUM
M0197,Merchant_0197,ENTERTAINMENT,Chennai,MEDIUM
M0198,Merchant_0198,E_COMMERCE,Hyderabad,MEDIUM
M0199,Merchant_0199,UTILITIES,Delhi,LOW
M0200,Merchant_0200,ENTERTAINMENT,Hyderabad,LOW
M0201,Merchant_0201,FUEL,Kolkata,MEDIUM
M0202,Merchant_0202,E_COMMERCE,Delhi,HIGH
M0203,Merchant_0203,ENTERTAINMENT,Chennai,LOW
M0204,Merchant_0204,UTILITIES,Pune,MEDIUM
M0205,Merchant_0205,ELECTRONICS,Chennai,LOW
M0206,Merchant_0206,ELECTRONICS,Ahmedabad,LOW
M0207,Merchant_0207,TRAVEL,Hyderabad,LOW
M0208,Merchant_0208,TRAVEL,Bangalore,MEDIUM
M0209,Merchant_0209,E_COMMERCE,Mumbai,HIGH
M0210,Merchant_0210,GROCERY,Kolkata,LOW
M0211,Merchant_0211,ENTERTAINMENT,Hyderabad,LOW
M0212,Merchant_0212,EDUCATION,Kolkata,LOW
M0213,Merchant_0213,ELECTRONICS,Ahmedabad,LOW
M0214,Merchant_0214,ENTERTAINMENT,Chennai,LOW
M0215,Merchant_0215,E_COMMERCE,Hyderabad,MEDIUM
M0216,Merchant_0216,GROCERY,Kolkata,HIGH
M0217,Merchant_0217,GROCERY,Hyderabad,LOW
M0218,Merchant_0218,UTILITIES,Pune,LOW
M0219,Merchant_0219,ELECTRONICS,Kolkata,MEDIUM
M0220,Merchant_0220,FUEL,Mumbai,LOW
M0221,Merchant_0221,TRAVEL,Kolkata,HIGH
M0222,Merchant_0222,RESTAURANT,Hyderabad,LOW
M0223,Merchant_0223,FUEL,Mumbai,LOW
M0224,Merchant_0224,ELECTRONICS,Ahmedabad,LOW
M0225,Merchant_0225,FUEL,Delhi,LOW
M0226,Merchant_0226,E_COMMERCE,Hyderabad,LOW
M0227,Merchant_0227,E_COMMERCE,Chennai,LOW
M0228,Merchant_0228,FUEL,Hyderabad,MEDIUM
M0229,Merchant_0229,GROCERY,Kolkata,LOW
M0230,Merchant_0230,E_COMMERCE,Pune,LOW
M0231,Merchant_0231,TRAVEL,Hyderabad,LOW
M0232,Merchant_0232,RESTAURANT,Bangalore,LOW
M0233,Merchant_0233,RESTAURANT,Mumbai,MEDIUM
M0234,Merchant_0234,E_COMMERCE,Mumbai,LOW
M0235,Merchant_0235,TRAVEL,Hyderabad,MEDIUM
M0236,Merchant_0236,FUEL,Kolkata,HIGH
M0237,Merchant_0237,HEALTHCARE,Mumbai,MEDIUM
M0238,Merchant_0238,ENTERTAINMENT,Delhi,MEDIUM
M0239,Merchant_0239,RESTAURANT,Hyderabad,LOW
M0240,Merchant_0240,TRAVEL,Kolkata,LOW
M0241,Merchant_0241,ENTERTAINMENT,Delhi,LOW
M0242,Merchant_0242,EDUCATION,Bangalore,LOW
M0243,Merchant_0243,EDUCATION,Hyderabad,LOW
M0244,Merchant_0244,ELECTRONICS,Chennai,LOW
M0245,Merchant_0245,EDUCATION,Delhi,LOW
M0246,Merchant_0246,FUEL,Bangalore,LOW
M0247,Merchant_0247,ELECTRONICS,Mumbai,LOW
M0248,Merchant_0248,TRAVEL,Chennai,LOW
M0249,Merchant_0249,RESTAURANT,Delhi,MEDIUM
M0250,Merchant_0250,HEALTHCARE,Ahmedabad,LOW
M0251,Merchant_0251,EDUCATION,Mumbai,LOW
M0252,Merchant_0252,RESTAURANT,Mumbai,MEDIUM
M0253,Merchant_0253,GROCERY,Kolkata,MEDIUM
M0254,Merchant_0254,EDUCATION,Bangalore,LOW
M0255,Merchant_0255,TRAVEL,Ahmedabad,LOW
M0256,Merchant_0256,E_COMMERCE,Hyderabad,LOW
M0257,Merchant_0257,FUEL,Bangalore,LOW
M0258,Merchant_0258,UTILITIES,Bangalore,LOW
M0259,Merchant_0259,UTILITIES,Kolkata,LOW
M0260,Merchant_0260,GROCERY,Pune,LOW
M0261,Merchant_0261,FUEL,Pune,LOW
M0262,Merchant_0262,E_COMMERCE,Chennai,LOW
M0263,Merchant_0263,FUEL,Pune,LOW
M0264,Merchant_0264,UTILITIES,Ahmedabad,HIGH
M0265,Merchant_0265,UTILITIES,Chennai,LOW
M0266,Merchant_0266,ENTERTAINMENT,Ahmedabad,HIGH
M0267,Merchant_0267,RESTAURANT,Pune,LOW
M0268,Merchant_0268,ENTERTAINMENT,Mumbai,MEDIUM
M0269,Merchant_0269,ENTERTAINMENT,Delhi,LOW
M0270,Merchant_0270,E_COMMERCE,Bangalore,LOW
M0271,Merchant_0271,GROCERY,Mumbai,MEDIUM
M0272,Merchant_0272,EDUCATION,Hyderabad,LOW
M0273,Merchant_0273,TRAVEL,Pune,HIGH
M0274,Merchant_0274,HEALTHCARE,Ahmedabad,LOW
M0275,Merchant_0275,ENTERTAINMENT,Delhi,LOW
M0276,Merchant_0276,FUEL,Delhi,LOW
M0277,Merchant_0277,GROCERY,Chennai,LOW
M0278,Merchant_0278,FUEL,Chennai,MEDIUM
M0279,Merchant_0279,ELECTRONICS,Delhi,MEDIUM
M0280,Merchant_0280,ENTERTAINMENT,Chennai,LOW
M0281,Merchant_0281,HEALTHCARE,Kolkata,LOW
M0282,Merchant_0282,E_COMMERCE,Ahmedabad,LOW
M0283,Merchant_0283,TRAVEL,Chennai,LOW
M0284,Merchant_0284,ELECTRONICS,Chennai,MEDIUM
M0285,Merchant_0285,RESTAURANT,Hyderabad,MEDIUM
M0286,Merchant_0286,RESTAURANT,Chennai,MEDIUM
M0287,Merchant_0287,HEALTHCARE,Kolkata,LOW
M0288,Merchant_0288,UTILITIES,Mumbai,LOW
M0289,Merchant_0289,ELECTRONICS,Ahmedabad,MEDIUM
M0290,Merchant_0290,RESTAURANT,Ahmedabad,LOW
M0291,Merchant_0291,ENTERTAINMENT,Ahmedabad,LOW
M0292,Merchant_0292,TRAVEL,Kolkata,HIGH
M0293,Merchant_0293,EDUCATION,Chennai,LOW
M0294,Merchant_0294,TRAVEL,Pune,MEDIUM
M0295,Merchant_0295,RESTAURANT,Hyderabad,LOW
M0296,Merchant_0296,RESTAURANT,Mumbai,LOW
M0297,Merchant_0297,UTILITIES,Pune,MEDIUM
M0298,Merchant_0298,ENTERTAINMENT,Pune,LOW
M0299,Merchant_0299,FUEL,Kolkata,LOW
M0300,Merchant_0300,EDUCATION,Delhi,MEDIUM
M0301,Merchant_0301,UTILITIES,Bangalore,MEDIUM
M0302,Merchant_0302,E_COMMERCE,Kolkata,MEDIUM
M0303,Merchant_0303,GROCERY,Chennai,LOW
M0304,Merchant_0304,E_COMMERCE,Hyderabad,HIGH
M0305,Merchant_0305,UTILITIES,Mumbai,LOW
M0306,Merchant_0306,ELECTRONICS,Chennai,LOW
M0307,Merchant_0307,RESTAURANT,Ahmedabad,LOW
M0308,Merchant_0308,EDUCATION,Kolkata,LOW
M0309,Merchant_0309,RESTAURANT,Bangalore,LOW
M0310,Merchant_0310,TRAVEL,Delhi,MEDIUM
M0311,Merchant_0311,UTILITIES,Kolkata,LOW
M0312,Merchant_0312,E_COMMERCE,Hyderabad,MEDIUM
M0313,Merchant_0313,GROCERY,Pune,LOW
M0314,Merchant_0314,ENTERTAINMENT,Chennai,MEDIUM
M0315,Merchant_0315,EDUCATION,Chennai,MEDIUM
M0316,Merchant_0316,UTILITIES,Ahmedabad,LOW
M0317,Merchant_0317,EDUCATION,Kolkata,LOW
M0318,Merchant_0318,ELECTRONICS,Pune,LOW
M0319,Merchant_0319,TRAVEL,Hyderabad,LOW
M0320,Merchant_0320,ELECTRONICS,Pune,MEDIUM
M0321,Merchant_0321,FUEL,Chennai,MEDIUM
M0322,Merchant_0322,GROCERY,Ahmedabad,LOW
M0323,Merchant_0323,ENTERTAINMENT,Ahmedabad,LOW
M0324,Merchant_0324,ENTERTAINMENT,Mumbai,LOW
M0325,Merchant_0325,EDUCATION,Pune,MEDIUM
M0326,Merchant_0326,ELECTRONICS,Bangalore,LOW
M0327,Merchant_0327,GROCERY,Kolkata,MEDIUM
M0328,Merchant_0328,ELECTRONICS,Ahmedabad,LOW
M0329,Merchant_0329,EDUCATION,Hyderabad,LOW
M0330,Merchant_0330,FUEL,Ahmedabad,HIGH
M0331,Merchant_0331,TRAVEL,Pune,LOW
M0332,Merchant_0332,EDUCATION,Ahmedabad,LOW
M0333,Merchant_0333,RESTAURANT,Kolkata,HIGH
M0334,Merchant_0334,ENTERTAINMENT,Mumbai,MEDIUM
M0335,Merchant_0335,EDUCATION,Kolkata,MEDIUM
M0336,Merchant_0336,EDUCATION,Chennai,LOW
M0337,Merchant_0337,EDUCATION,Bangalore,LOW
M0338,Merchant_0338,ENTERTAINMENT,Chennai,LOW
M0339,Merchant_0339,TRAVEL,Chennai,LOW
M0340,Merchant_0340,RESTAURANT,Kolkata,LOW
M0341,Merchant_0341,E_COMMERCE,Chennai,LOW
M0342,Merchant_0342,ENTERTAINMENT,Kolkata,LOW
M0343,Merchant_0343,TRAVEL,Ahmedabad,MEDIUM
M0344,Merchant_0344,FUEL,Ahmedabad,LOW
M0345,Merchant_0345,HEALTHCARE,Hyderabad,LOW
M0346,Merchant_0346,ELECTRONICS,Hyderabad,MEDIUM
M0347,Merchant_0347,FUEL,Bangalore,MEDIUM
M0348,Merchant_0348,RESTAURANT,Pune,LOW
M0349,Merchant_0349,GROCERY,Bangalore,LOW
M0350,Merchant_0350,TRAVEL,Bangalore,MEDIUM
M0351,Merchant_0351,HEALTHCARE,Kolkata,LOW
M0352,Merchant_0352,EDUCATION,Hyderabad,LOW
M0353,Merchant_0353,GROCERY,Pune,MEDIUM
M0354,Merchant_0354,FUEL,Mumbai,MEDIUM
M0355,Merchant_0355,ENTERTAINMENT,Delhi,LOW
M0356,Merchant_0356,ELECTRONICS,Pune,HIGH
M0357,Merchant_0357,HEALTHCARE,Chennai,LOW
M0358,Merchant_0358,HEALTHCARE,Mumbai,LOW
M0359,Merchant_0359,UTILITIES,Bangalore,LOW
M0360,Merchant_0360,TRAVEL,Delhi,LOW
M0361,Merchant_0361,E_COMMERCE,Ahmedabad,LOW
M0362,Merchant_0362,EDUCATION,Delhi,LOW
M0363,Merchant_0363,ELECTRONICS,Hyderabad,MEDIUM
M0364,Merchant_0364,GROCERY,Bangalore,LOW
M0365,Merchant_0365,HEALTHCARE,Kolkata,LOW
M0366,Merchant_0366,EDUCATION,Ahmedabad,MEDIUM
M0367,Merchant_0367,ELECTRONICS,Delhi,MEDIUM
M0368,Merchant_0368,HEALTHCARE,Kolkata,LOW
M0369,Merchant_0369,HEALTHCARE,Chennai,MEDIUM
M0370,Merchant_0370,FUEL,Kolkata,LOW
M0371,Merchant_0371,GROCERY,Mumbai,MEDIUM
M0372,Merchant_0372,TRAVEL,Bangalore,MEDIUM
M0373,Merchant_0373,FUEL,Hyderabad,MEDIUM
M0374,Merchant_0374,FUEL,Kolkata,MEDIUM
M0375,Merchant_0375,RESTAURANT,Chennai,LOW
M0376,Merchant_0376,RESTAURANT,Kolkata,LOW
M0377,Merchant_0377,EDUCATION,Hyderabad,HIGH
M0378,Merchant_0378,RESTAURANT,Delhi,MEDIUM
M0379,Merchant_0379,ELECTRONICS,Delhi,MEDIUM
M0380,Merchant_0380,EDUCATION,Pune,LOW
M0381,Merchant_0381,RESTAURANT,Mumbai,MEDIUM
M0382,Merchant_0382,EDUCATION,Kolkata,LOW
M0383,Merchant_0383,TRAVEL,Bangalore,LOW
M0384,Merchant_0384,RESTAURANT,Hyderabad,LOW
M0385,Merchant_0385,GROCERY,Delhi,HIGH
M0386,Merchant_0386,HEALTHCARE,Delhi,LOW
M0387,Merchant_0387,RESTAURANT,Bangalore,LOW
M0388,Merchant_0388,GROCERY,Bangalore,LOW
M0389,Merchant_0389,E_COMMERCE,Chennai,MEDIUM
M0390,Merchant_0390,RESTAURANT,Pune,LOW
M0391,Merchant_0391,GROCERY,Bangalore,LOW
M0392,Merchant_0392,FUEL,Kolkata,MEDIUM
M0393,Merchant_0393,TRAVEL,Pune,LOW
M0394,Merchant_0394,FUEL,Pune,LOW
M0395,Merchant_0395,UTILITIES,Delhi,LOW
M0396,Merchant_0396,RESTAURANT,Ahmedabad,LOW
M0397,Merchant_0397,ELECTRONICS,Mumbai,MEDIUM
M0398,Merchant_0398,ENTERTAINMENT,Ahmedabad,LOW
M0399,Merchant_0399,TRAVEL,Hyderabad,LOW
M0400,Merchant_0400,GROCERY,Chennai,LOW
M0401,Merchant_0401,HEALTHCARE,Bangalore,LOW
M0402,Merchant_0402,TRAVEL,Delhi,LOW
M0403,Merchant_0403,FUEL,Hyderabad,HIGH
M0404,Merchant_0404,UTILITIES,Chennai,LOW
M0405,Merchant_0405,UTILITIES,Chennai,LOW
M0406,Merchant_0406,EDUCATION,Bangalore,LOW
M0407,Merchant_0407,GROCERY,Ahmedabad,LOW
M0408,Merchant_0408,EDUCATION,Kolkata,LOW
M0409,Merchant_0409,E_COMMERCE,Hyderabad,LOW
M0410,Merchant_0410,FUEL,Ahmedabad,LOW
M0411,Merchant_0411,TRAVEL,Ahmedabad,LOW
M0412,Merchant_0412,GROCERY,Kolkata,LOW
M0413,Merchant_0413,TRAVEL,Mumbai,LOW
M0414,Merchant_0414,FUEL,Pune,LOW
M0415,Merchant_0415,UTILITIES,Kolkata,MEDIUM
M0416,Merchant_0416,TRAVEL,Chennai,MEDIUM
M0417,Merchant_0417,ENTERTAINMENT,Delhi,LOW
M0418,Merchant_0418,RESTAURANT,Ahmedabad,LOW
M0419,Merchant_0419,ENTERTAINMENT,Kolkata,LOW
M0420,Merchant_0420,ELECTRONICS,Delhi,MEDIUM
M0421,Merchant_0421,ENTERTAINMENT,Kolkata,HIGH
M0422,Merchant_0422,TRAVEL,Ahmedabad,LOW
M0423,Merchant_0423,E_COMMERCE,Bangalore,LOW
M0424,Merchant_0424,ENTERTAINMENT,Ahmedabad,MEDIUM
M0425,Merchant_0425,E_COMMERCE,Kolkata,MEDIUM
M0426,Merchant_0426,HEALTHCARE,Kolkata,MEDIUM
M0427,Merchant_0427,FUEL,Mumbai,LOW
M0428,Merchant_0428,HEALTHCARE,Pune,LOW
M0429,Merchant_0429,FUEL,Bangalore,HIGH
M0430,Merchant_0430,ENTERTAINMENT,Delhi,MEDIUM
M0431,Merchant_0431,RESTAURANT,Chennai,LOW
M0432,Merchant_0432,GROCERY,Pune,MEDIUM
M0433,Merchant_0433,HEALTHCARE,Hyderabad,MEDIUM
M0434,Merchant_0434,TRAVEL,Kolkata,MEDIUM
M0435,Merchant_0435,HEALTHCARE,Hyderabad,LOW
M0436,Merchant_0436,E_COMMERCE,Chennai,LOW
M0437,Merchant_0437,GROCERY,Mumbai,MEDIUM
M0438,Merchant_0438,E_COMMERCE,Pune,LOW
M0439,Merchant_0439,FUEL,Delhi,LOW
M0440,Merchant_0440,GROCERY,Chennai,LOW
M0441,Merchant_0441,EDUCATION,Pune,LOW
M0442,Merchant_0442,RESTAURANT,Bangalore,LOW
M0443,Merchant_0443,EDUCATION,Pune,LOW
M0444,Merchant_0444,UTILITIES,Delhi,LOW
M0445,Merchant_0445,UTILITIES,Hyderabad,LOW
M0446,Merchant_0446,UTILITIES,Bangalore,LOW
M0447,Merchant_0447,GROCERY,Hyderabad,LOW
M0448,Merchant_0448,RESTAURANT,Kolkata,LOW
M0449,Merchant_0449,ENTERTAINMENT,Pune,LOW
M0450,Merchant_0450,E_COMMERCE,Ahmedabad,MEDIUM
M0451,Merchant_0451,E_COMMERCE,Delhi,LOW
M0452,Merchant_0452,GROCERY,Chennai,LOW
M0453,Merchant_0453,EDUCATION,Delhi,LOW
M0454,Merchant_0454,ELECTRONICS,Hyderabad,MEDIUM
M0455,Merchant_0455,ENTERTAINMENT,Hyderabad,MEDIUM
M0456,Merchant_0456,GROCERY,Ahmedabad,LOW
