transaction_id,account_id,merchant_id,branch_id,transaction_date,amount,currency,channel,payment_type,status,failure_reason,processing_time_sec,device_id,ip_risk_score,transaction_risk_score,feature_version
1000024,510199,M0278,B002,2026-02-08 06:15:55,3821.11,INR,CARD,P2M,SUCCESS,,7.47,D0011902,0.0,67.71,NEW
1000025,514937,M0366,B012,2026-07-13 02:45:02,2709.66,INR,UPI,P2P,SUCCESS,,3.97,D0014011,37.97,52.95,OLD
1000026,509920,M0125,B004,2026-07-04 16:23:12,10697.3,INR,CARD,P2M,SUCCESS,,5.1,D0013506,18.74,15.98,NEW
1000027,512444,M0006,B007,2026-05-26 05:24:37,8061.82,INR,UPI,P2M,SUCCESS,,2.03,D0000148,27.56,12.43,OLD
1000028,507997,M0338,B006,2026-05-24 17:06:46,2585.16,INR,CARD,P2M,SUCCESS,,6.31,D0013880,49.08,5.87,OLD
1000029,507400,M0276,B020,2026-03-04 03:51:44,1094.77,INR,CARD,P2M,SUCCESS,,5.8,D0010365,34.83,23.58,NEW
1000030,510393,M0328,B009,2026-05-03 17:40:27,3656.17,INR,UPI,P2M,SUCCESS,,3.84,D0005462,32.94,39.35,OLD
1000031,509271,M0337,B008,2026-05-16 19:15:30,1072.56,INR,CARD,P2M,SUCCESS,,3.77,D0005085,28.03,17.1,NEW
1000032,505655,M0087,B005,2026-03-02 16:02:03,665.27,INR,CARD,P2M,SUCCESS,,3.82,D0006497,41.52,37.61,NEW
1000033,503174,M0231,B013,2026-01-06 03:49:38,4293.91,INR,CARD,P2M,SUCCESS,,5.59,D0007542,60.58,25.89,OLD
1000034,509051,M0473,B011,2026-07-12 11:39:59,1224.15,INR,UPI,BILLPAY,SUCCESS,,4.68,D0007304,51.22,50.73,NEW
1000035,511376,M0061,B007,2026-07-04 14:12:51,2399.94,INR,UPI,P2P,SUCCESS,,5.52,D0009229,40.79,42.21,NEW
1000036,513438,M0085,B011,2026-05-19 02:19:01,5264.23,INR,CARD,P2P,SUCCESS,,5.86,D0003533,33.15,61.72,NEW
1000037,511973,M0060,B015,2026-07-02 11:00:22,459.34,INR,UPI,P2P,SUCCESS,,5.13,D0003080,16.45,9.26,OLD
1000038,512199,M0388,B010,2026-02-22 09:41:50,5283.73,INR,CARD,P2M,SUCCESS,,4.75,D0008814,31.78,39.92,OLD
1000039,507693,M0006,B013,2026-05-05 06:53:26,2071.56,INR,UPI,P2P,SUCCESS,,4.74,D0011610,37.86,39.82,OLD
1000040,514463,M0389,B014,2026-07-13 03:38:48,4063.41,INR,NETBANKING,P2M,SUCCESS,,4.55,D0010294,46.18,29.94,NEW
1000041,508579,M0441,B003,2026-08-02 08:47:44,6606.95,INR,UPI,P2P,SUCCESS,,3.8,D0001351,33.45,24.91,NEW
1000042,508701,M0113,B012,2026-02-09 03:03:49,819.73,INR,UPI,P2M,SUCCESS,,5.17,D0012551,0.0,28.15,OLD
1000043,509722,M0458,B018,2026-07-24 17:36:45,1504.53,INR,CARD,P2P,SUCCESS,,5.52,D0009519,26.75,43.74,OLD
1000044,501818,M0056,B012,2026-03-29 20:34:32,2782.46,INR,UPI,P2P,FAILED,LIMIT_EXCEEDED,5.89,D0014377,24.41,18.89,OLD
1000045,500481,M0060,B002,2026-05-25 00:46:37,2647.59,INR,UPI,P2M,SUCCESS,,4.7,D0014597,53.64,49.66,NEW
1000046,511930,M0048,B007,2026-06-10 21:43:06,1533.49,INR,UPI,P2M,SUCCESS,,4.34,D0005101,60.4,64.24,NEW
1000047,508529,M0354,B004,2026-06-20 08:12:56,686.16,INR,UPI,P2P,SUCCESS,,5.73,D0008783,31.19,47.3,NEW
1000048,510569,M0160,B013,2026-04-27 19:17:30,4727.1,INR,CARD,P2M,SUCCESS,,4.02,D0011829,13.87,29.82,OLD
1000049,511774,M0247,B011,2026-05-05 02:30:36,10547.96,INR,NETBANKING,P2M,SUCCESS,,4.86,D0005701,14.08,65.32,NEW
1000050,507057,M0361,B008,2026-07-23 12:01:15,553.27,INR,CARD,P2P,PENDING,,5.46,D0009157,16.19,29.13,OLD
1000051,513149,M0271,B015,2026-06-30 02:02:03,2830.45,INR,UPI,P2M,SUCCESS,,3.99,D0002294,3.43,61.8,OLD
1000052,505179,M0094,B009,2026-03-14 05:50:42,1143.62,INR,NETBANKING,P2P,SUCCESS,,4.98,D0002016,41.86,42.99,OLD
1000053,506652,M0454,B017,2026-06-13 10:05:52,235.02,INR,UPI,P2M,SUCCESS,,11.35,D0005256,68.1,55.97,NEW
1000054,505727,M0149,B006,2026-07-20 02:23:13,28071.82,INR,UPI,BILLPAY,SUCCESS,,4.56,D0006018,48.01,40.05,OLD
1000055,505992,M0019,B017,2026-05-14 14:21:45,2589.21,INR,UPI,P2M,SUCCESS,,6.04,D0012007,28.98,44.86,OLD
1000056,511787,M0365,B002,2026-05-08 06:05:45,2578.96,INR,UPI,P2M,SUCCESS,,4.6,D0000957,33.96,40.88,NEW
1000057,504454,M0160,B002,2026-06-14 08:53:27,5878.28,INR,UPI,P2M,SUCCESS,,5.74,D0014469,0.0,57.22,NEW
1000058,500427,M0363,B001,2026-05-19 17:24:06,8413.49,INR,CARD,BILLPAY,SUCCESS,,8.39,D0011563,27.45,42.55,OLD
1000059,509186,M0402,B010,2026-04-11 04:56:34,919.89,INR,UPI,P2M,SUCCESS,,4.59,D0006891,36.83,18.0,NEW
1000060,512368,M0477,B009,2026-08-10 21:00:37,1324.7,INR,UPI,P2M,SUCCESS,,4.91,D0008357,26.42,39.76,OLD
1000061,508956,M0140,B006,2026-06-08 15:40:26,5202.19,INR,CARD,BILLPAY,SUCCESS,,4.94,D0008625,12.99,32.73,NEW
1000062,513840,M0153,B010,2026-07-31 17:53:17,24011.08,INR,CARD,P2P,SUCCESS,,6.13,D0014637,30.34,49.93,NEW
1000063,506217,M0155,B017,2026-06-18 03:03:28,644.12,INR,UPI,P2P,FAILED,LIMIT_EXCEEDED,2.96,D0014246,32.3,36.2,NEW
1000064,506493,M0156,B001,2026-01-11 01:50:29,1659.79,INR,UPI,P2M,SUCCESS,,4.12,D0012042,34.27,20.86,NEW
1000065,510128,M0176,B004,2026-02-12 04:16:49,1399.51,INR,UPI,P2M,SUCCESS,,5.21,D0010449,29.1,56.67,NEW
1000066,513054,M0213,B009,2026-03-19 17:47:21,1387.04,INR,UPI,P2P,SUCCESS,,6.01,D0007698,11.26,30.38,OLD
1000067,501943,M0182,B006,2026-02-22 22:19:26,4677.04,INR,UPI,P2P,SUCCESS,,6.57,D0010123,25.44,16.42,NEW
1000068,512241,M0222,B010,2026-05-26 09:25:16,1612.3,INR,NETBANKING,P2M,SUCCESS,,6.54,D0002550,34.92,6.89,NEW
1000069,500982,M0168,B017,2026-03-11 14:43:25,1782.63,INR,UPI,P2P,SUCCESS,,4.34,D0000099,34.2,39.44,NEW
1000070,513107,M0385,B011,2026-07-03 02:49:23,3102.56,INR,NETBANKING,P2M,SUCCESS,,5.38,D0005440,4.54,23.62,NEW
1000071,505631,M0148,B009,2026-06-08 08:32:34,5880.85,INR,UPI,P2M,SUCCESS,,5.92,D0012389,25.91,58.86,OLD
1000072,508626,M0352,B004,2026-08-02 02:13:48,1553.44,INR,CARD,P2M,SUCCESS,,6.75,D0008575,16.27,45.8,NEW
1000073,514774,M0219,B010,2026-08-11 20:24:56,398.39,INR,UPI,P2M,SUCCESS,,6.0,D0012778,32.53,48.2,NEW
1000074,510309,M0250,B020,2026-05-09 07:35:48,1044.07,INR,UPI,BILLPAY,SUCCESS,,3.52,D0008865,44.61,41.24,OLD
1000075,505345,M0417,B014,2026-01-17 11:45:13,1270.83,INR,CARD,P2P,SUCCESS,,4.0,D0001275,45.47,13.0,NEW
1000076,502473,M0014,B014,2026-01-06 05:18:26,3258.99,INR,CARD,P2M,SUCCESS,,6.09,D0001818,33.12,36.51,OLD
1000077,507404,M0042,B003,2026-02-19 17:18:41,1891.53,INR,UPI,P2P,SUCCESS,,4.69,D0010150,17.88,23.84,NEW
1000078,513166,M0016,B003,2026-03-15 07:28:36,1314.92,INR,UPI,P2P,SUCCESS,,5.53,D0012564,42.75,36.1,OLD
1000079,510091,M0064,B005,2026-05-24 21:13:57,2414.18,INR,UPI,P2P,SUCCESS,,4.63,D0003215,14.33,0.0,OLD
1000080,507882,M0222,B005,2026-07-31 05:15:13,3422.94,INR,UPI,P2M,FAILED,INSUFFICIENT_FUNDS,4.15,D0008271,36.78,73.69,OLD
1000081,513315,M0467,B015,2026-04-29 18:23:30,5369.38,INR,UPI,P2P,SUCCESS,,5.52,D0006724,15.95,22.42,NEW
1000082,507305,M0265,B006,2026-04-23 21:16:39,3791.58,INR,UPI,P2M,SUCCESS,,5.74,D0006771,21.92,35.42,OLD
1000083,509095,M0475,B005,2026-06-05 13:59:47,1777.88,INR,NETBANKING,P2M,FAILED,INSUFFICIENT_FUNDS,7.91,D0009874,32.38,91.14,NEW
1000084,506226,M0262,B007,2026-04-14 23:38:24,466.94,INR,CARD,P2M,SUCCESS,,3.69,D0005427,10.53,46.8,NEW
1000085,512109,M0130,B014,2026-01-27 04:26:00,1931.35,INR,UPI,P2M,SUCCESS,,4.32,D0008756,0.0,39.48,NEW
1000086,513013,M0194,B012,2026-04-10 11:49:29,1078.44,INR,UPI,BILLPAY,SUCCESS,,5.39,D0014739,27.17,56.14,OLD
1000087,509638,M0210,B012,2026-07-06 04:33:30,1155.8,INR,UPI,P2M,SUCCESS,,3.92,D0010649,45.5,49.81,OLD
1000088,508080,M0246,B006,2026-02-21 09:18:41,3228.98,INR,UPI,BILLPAY,SUCCESS,,5.41,D0004898,37.04,42.91,OLD
1000089,511425,M0326,B010,2026-04-15 07:05:18,13118.07,INR,WALLET,P2M,SUCCESS,,6.73,D0001194,43.62,26.7,NEW
1000090,509461,M0494,B005,2026-06-06 09:22:46,949.94,INR,NETBANKING,P2P,SUCCESS,,5.2,D0007198,31.33,19.6,OLD
1000091,502598,M0312,B004,2026-05-09 21:08:18,211.23,INR,UPI,BILLPAY,SUCCESS,,3.56,D0001492,23.26,24.77,OLD
1000092,507626,M0028,B019,2026-01-29 18:25:40,1607.38,INR,CARD,P2P,SUCCESS,,5.35,D0002181,22.8,44.22,OLD
1000093,510856,M0394,B017,2026-01-14 00:54:12,390.37,INR,UPI,P2M,SUCCESS,,5.17,D0001925,48.59,62.64,OLD
1000094,502489,M0214,B001,2026-04-21 05:05:59,2572.48,INR,UPI,BILLPAY,SUCCESS,,4.02,D0005681,15.58,41.26,OLD
1000095,506770,M0279,B018,2026-06-20 22:21:12,9553.14,INR,UPI,P2M,SUCCESS,,3.94,D0009092,59.4,51.6,NEW
1000096,514855,M0283,B002,2026-05-20 16:05:13,804.69,INR,UPI,P2M,SUCCESS,,4.17,D0013154,41.21,15.49,NEW
1000097,503679,M0166,B019,2026-05-19 17:31:39,1294.08,INR,WALLET,P2P,SUCCESS,,5.67,D0006054,17.61,13.69,NEW
1000098,505145,M0369,B020,2026-04-21 16:32:10,1686.1,INR,CARD,P2P,SUCCESS,,5.35,D0011337,43.91,18.93,OLD
1000099,513677,M0315,B003,2026-04-02 23:00:56,3956.76,INR,CARD,P2M,FAILED,TIMEOUT,6.35,D0012552,30.52,23.73,OLD
1000100,514624,M0398,B017,2026-08-12 19:22:10,2291.58,INR,CARD,P2M,SUCCESS,,6.61,D0009511,40.19,32.62,NEW
1000101,505123,M0340,B004,2026-08-07 06:01:35,650.89,INR,CARD,P2M,SUCCESS,,4.34,D0009095,52.39,44.42,OLD
1000102,506881,M0247,B013,2026-04-28 18:21:47,2985.96,INR,UPI,P2M,SUCCESS,,5.09,D0006002,23.83,35.97,OLD
1000103,506186,M0393,B012,2026-03-15 14:20:29,4637.47,INR,UPI,P2P,SUCCESS,,4.38,D0000601,13.21,34.6,OLD
1000104,502599,M0250,B012,2026-07-28 04:27:10,2847.88,INR,NETBANKING,P2M,SUCCESS,,6.21,D0012330,61.92,47.81,NEW
1000105,512686,M0258,B006,2026-03-13 12:03:44,13209.53,INR,CARD,P2M,SUCCESS,,6.03,D0007945,26.1,27.17,OLD
1000106,511986,M0046,B015,2026-07-04 08:32:03,3709.65,INR,UPI,P2P,SUCCESS,,4.88,D0008572,23.71,27.57,OLD
1000107,514259,M0360,B020,2026-07-22 16:49:43,2919.27,INR,CARD,P2P,SUCCESS,,5.39,D0004072,44.0,20.26,NEW
1000108,509215,M0494,B019,2026-07-30 20:57:40,5243.76,INR,CARD,P2P,SUCCESS,,5.25,D0005990,13.54,35.05,OLD
1000109,503631,M0256,B003,2026-02-20 20:45:53,8937.91,INR,UPI,P2P,SUCCESS,,4.88,D0001778,23.2,30.34,NEW
1000110,509277,M0268,B013,2026-08-12 13:35:09,3292.08,INR,WALLET,P2M,SUCCESS,,6.78,D0007967,38.31,48.78,NEW
1000111,503298,M0186,B006,2026-05-03 13:33:29,422.82,INR,UPI,P2M,SUCCESS,,4.47,D0007654,68.74,12.27,OLD
1000112,501839,M0114,B006,2026-07-13 13:15:12,3702.83,INR,UPI,P2M,SUCCESS,,9.8,D0012550,3.65,43.67,OLD
1000113,511398,M0369,B018,2026-02-19 02:58:11,2505.55,INR,UPI,BILLPAY,SUCCESS,,7.03,D0003908,24.61,43.34,NEW
1000114,511901,M0144,B010,2026-05-15 01:43:05,1778.45,INR,UPI,BILLPAY,SUCCESS,,3.72,D0000894,34.29,0.85,OLD
1000115,510886,M0160,B012,2026-07-04 03:34:11,10765.36,INR,CARD,P2M,SUCCESS,,4.75,D0013363,8.58,34.99,OLD
1000116,512005,M0174,B008,2026-02-26 06:43:08,3825.6,INR,CARD,P2M,SUCCESS,,6.09,D0012896,0.85,59.41,NEW
1000117,503180,M0175,B013,2026-02-20 09:29:02,1619.08,INR,CARD,BILLPAY,SUCCESS,,6.11,D0012039,66.77,56.57,NEW
1000118,514015,M0094,B008,2026-07-11 08:39:20,5122.17,INR,UPI,P2M,SUCCESS,,4.18,D0013666,37.75,4.17,NEW
1000119,513438,M0202,B011,2026-04-22 16:26:07,4471.2,INR,NETBANKING,P2P,SUCCESS,,8.11,D0005776,23.3,51.36,OLD
1000120,505744,M0473,B016,2026-02-08 02:25:49,490.34,INR,NETBANKING,P2M,SUCCESS,,5.56,D0013522,0.0,4.46,OLD
1000121,501150,M0107,B010,2026-01-07 12:08:19,391.3,INR,CARD,P2M,SUCCESS,,4.66,D0012671,8.42,60.38,OLD
1000122,513379,M0100,B011,2026-04-19 00:10:35,6939.88,INR,UPI,P2M,SUCCESS,,4.76,D0000311,5.43,8.53,OLD
1000123,509267,M0134,B006,2026-07-04 00:24:46,1739.97,INR,CARD,P2P,SUCCESS,,4.68,D0000336,18.46,10.23,NEW
1000124,514180,M0135,B002,2026-04-20 04:48:09,7659.62,INR,CARD,P2M,SUCCESS,,5.63,D0009578,45.57,44.11,OLD
1000125,510627,M0015,B010,2026-08-22 15:56:56,20248.95,INR,CARD,P2M,SUCCESS,,5.79,D0005684,38.28,17.73,OLD
1000126,513275,M0275,B017,2026-06-28 17:10:14,2465.57,INR,UPI,P2P,SUCCESS,,5.7,D0007169,36.36,60.12,NEW
1000127,510803,M0376,B008,2026-05-05 13:58:17,2957.57,INR,CARD,P2M,SUCCESS,,5.88,D0011856,17.57,0.0,OLD
1000128,514001,M0052,B004,2026-05-11 13:12:51,1922.26,INR,CARD,BILLPAY,SUCCESS,,5.87,D0000542,26.27,49.37,NEW
1000129,504289,M0149,B004,2026-03-31 16:06:08,2742.88,INR,NETBANKING,P2M,SUCCESS,,5.45,D0006675,43.06,45.52,OLD
1000130,501095,M0406,B008,2026-03-02 05:37:32,801.36,INR,CARD,P2M,SUCCESS,,6.12,D0008086,44.9,59.36,NEW
1000131,501245,M0368,B013,2026-01-07 04:19:01,3591.59,INR,UPI,P2M,SUCCESS,,4.85,D0007766,37.47,32.28,NEW
1000132,508525,M0443,B009,2026-02-17 02:58:15,450.56,INR,UPI,P2P,SUCCESS,,7.29,D0013067,15.46,69.23,OLD
1000133,504358,M0308,B002,2026-03-15 09:05:13,1154.23,INR,CARD,P2P,SUCCESS,,4.9,D0000704,26.06,25.26,OLD
1000134,501339,M0134,B017,2026-07-11 03:47:25,2834.98,INR,UPI,P2P,FAILED,TIMEOUT,6.99,D0001678,0.0,57.82,OLD
1000135,513352,M0499,B009,2026-05-26 18:46:22,2061.5,INR,UPI,P2P,SUCCESS,,4.13,D0003094,17.26,17.5,OLD
1000136,512452,M0027,B011,2026-07-09 17:34:32,6528.51,INR,UPI,P2M,SUCCESS,,3.57,D0007453,44.21,25.37,NEW
1000137,502370,M0249,B006,2026-05-28 16:07:11,1405.07,INR,UPI,P2M,SUCCESS,,5.66,D0007432,29.33,6.7,NEW
1000138,513164,M0467,B001,2026-01-18 23:10:11,1849.6,INR,CARD,P2P,SUCCESS,,5.03,D0010996,49.07,40.23,OLD
1000139,510345,M0252,B011,2026-03-15 22:04:56,6119.05,INR,CARD,P2M,SUCCESS,,5.71,D0007141,31.54,22.49,NEW
1000140,503835,M0342,B006,2026-06-15 14:49:08,4378.46,INR,CARD,P2M,SUCCESS,,5.59,D0011110,5.47,54.16,NEW
1000141,511462,M0229,B005,2026-07-22 12:34:26,68671.41,INR,UPI,BILLPAY,SUCCESS,,4.04,D0005803,46.45,32.92,OLD
1000142,506251,M0472,B013,2026-04-13 11:37:46,7565.18,INR,UPI,P2M,SUCCESS,,5.47,D0013939,0.0,20.26,OLD
1000143,507293,M0263,B005,2026-06-18 21:51:23,2747.79,INR,UPI,P2P,SUCCESS,,5.64,D0002156,36.54,30.01,OLD
1000144,503398,M0391,B010,2026-01-30 16:26:42,309.5,INR,WALLET,P2P,SUCCESS,,6.34,D0003952,2.08,57.24,OLD
1000145,504569,M0358,B006,2026-02-01 04:55:05,4699.04,INR,NETBANKING,P2M,FAILED,TIMEOUT,8.08,D0013557,30.32,74.74,OLD
1000146,506050,M0447,B015,2026-08-22 00:02:29,1695.35,INR,UPI,BILLPAY,SUCCESS,,4.13,D0001062,2.97,3.36,NEW
1000147,501807,M0078,B003,2026-03-01 23:46:24,1399.19,INR,UPI,P2M,SUCCESS,,6.17,D0003636,61.54,19.71,OLD
1000148,503841,M0410,B006,2026-05-16 07:13:16,16091.63,INR,UPI,BILLPAY,FAILED,NETWORK_ERROR,5.31,D0005165,35.94,45.75,OLD
1000149,501420,M0375,B006,2026-01-06 02:47:02,1882.06,INR,CARD,P2M,SUCCESS,,4.61,D0000262,26.34,35.9,OLD
1000150,501083,M0201,B013,2026-07-12 21:31:37,863.66,INR,UPI,P2P,FAILED,INSUFFICIENT_FUNDS,4.93,D0007803,33.24,32.28,OLD
1000151,505439,M0322,B012,2026-04-23 12:37:10,11941.18,INR,UPI,P2M,SUCCESS,,5.11,D0010082,63.08,72.12,OLD
1000152,505938,M0007,B005,2026-07-25 13:11:46,1444.99,INR,NETBANKING,P2P,SUCCESS,,5.12,D0007469,42.92,4.39,NEW
1000153,502901,M0404,B001,2026-07-11 00:21:30,3333.49,INR,UPI,P2M,SUCCESS,,3.92,D0008427,12.95,18.33,OLD
1000154,506214,M0240,B006,2026-01-16 19:11:01,2326.26,INR,UPI,BILLPAY,SUCCESS,,5.0,D0004175,38.92,37.42,NEW
1000155,509816,M0113,B001,2026-02-20 20:14:00,2738.09,INR,NETBANKING,P2M,SUCCESS,,6.01,D0011866,39.89,33.03,NEW
1000156,508792,M0376,B016,2026-04-05 05:20:09,7181.87,INR,CARD,P2M,SUCCESS,,4.42,D0001404,16.34,37.51,NEW
1000157,509349,M0163,B017,2026-01-14 02:19:52,2604.15,INR,UPI,P2M,SUCCESS,,5.61,D0003833,28.47,24.16,NEW
1000158,504693,M0300,B014,2026-07-10 23:08:03,3798.38,INR,CARD,P2M,SUCCESS,,6.34,D0009634,31.29,41.89,NEW
1000159,507480,M0484,B012,2026-02-03 02:45:05,1615.74,INR,NETBANKING,P2M,SUCCESS,,6.64,D0011860,23.61,45.31,NEW
1000160,511671,M0049,B017,2026-07-07 09:55:39,8786.97,INR,CARD,P2M,SUCCESS,,5.83,D0004326,62.15,38.78,OLD
1000161,508596,M0229,B009,2026-02-01 18:25:28,610.89,INR,WALLET,P2P,SUCCESS,,5.85,D0009086,20.62,39.39,NEW
1000162,514028,M0469,B019,2026-07-09 10:14:16,1321.9,INR,CARD,P2P,SUCCESS,,4.5,D0011191,29.1,19.51,OLD
1000163,504776,M0100,B016,2026-01-23 21:52:45,160.38,INR,UPI,P2P,PENDING,,5.15,D0003304,59.76,21.45,OLD
1000164,501191,M0093,B005,2026-02-26 08:58:55,805.16,INR,NETBANKING,P2P,SUCCESS,,5.36,D0002280,0.0,13.04,NEW
1000165,511709,M0312,B016,2026-05-17 01:28:32,7072.22,INR,NETBANKING,P2M,SUCCESS,,5.65,D0002032,44.17,37.53,OLD
1000166,501679,M0218,B003,2026-04-15 07:23:27,1072.08,INR,CARD,P2M,SUCCESS,,6.02,D0012982,0.0,28.56,OLD
1000167,502588,M0004,B007,2026-07-31 00:38:22,1610.38,INR,WALLET,P2M,SUCCESS,,5.58,D0001946,27.95,40.02,NEW
1000168,513571,M0203,B007,2026-05-08 09:49:05,2668.13,INR,NETBANKING,P2M,SUCCESS,,7.43,D0011990,18.55,30.74,NEW
1000169,510925,M0151,B015,2026-08-14 00:24:11,1610.65,INR,CARD,P2M,SUCCESS,,4.38,D0007608,58.11,2.88,NEW
1000170,511367,M0032,B017,2026-01-08 06:20:11,2584.47,INR,UPI,P2M,SUCCESS,,3.44,D0008718,17.12,18.01,OLD
1000171,501762,M0276,B015,2026-08-11 01:46:08,2264.3,INR,CARD,P2P,SUCCESS,,4.74,D0008044,28.07,32.34,OLD
1000172,508242,M0083,B020,2026-04-24 20:27:07,4073.2,INR,CARD,P2P,SUCCESS,,5.06,D0006438,21.15,0.0,OLD
1000173,504981,M0476,B019,2026-07-15 11:12:35,1978.03,INR,UPI,P2P,SUCCESS,,4.24,D0009809,42.07,49.5,OLD
1000174,501479,M0404,B009,2026-06-12 02:48:16,446.38,INR,UPI,P2P,SUCCESS,,5.12,D0003327,19.07,36.65,OLD
1000175,502346,M0201,B008,2026-07-26 16:10:36,1159.02,INR,CARD,P2M,SUCCESS,,4.98,D0001613,36.55,43.56,OLD
1000176,507905,M0433,B020,2026-08-18 01:59:28,4197.42,INR,CARD,P2P,SUCCESS,,6.38,D0009787,25.62,37.59,OLD
1000177,506629,M0191,B017,2026-05-14 06:19:07,2601.19,INR,CARD,P2M,SUCCESS,,7.81,D0002673,52.9,48.4,NEW
1000178,506011,M0322,B015,2026-08-05 15:05:21,7649.1,INR,UPI,P2P,SUCCESS,,4.68,D0011400,0.0,50.69,OLD
1000179,508685,M0300,B003,2026-05-12 13:16:29,1925.34,INR,CARD,BILLPAY,SUCCESS,,7.09,D0004835,17.61,57.77,NEW
1000180,512395,M0321,B003,2026-07-04 23:01:55,1136.74,INR,UPI,P2M,SUCCESS,,3.91,D0014531,12.9,13.07,NEW
1000181,510897,M0127,B004,2026-01-16 05:44:12,3488.82,INR,UPI,P2M,SUCCESS,,5.07,D0011767,23.23,51.06,NEW
1000182,513173,M0397,B008,2026-03-19 19:34:42,2550.58,INR,NETBANKING,BILLPAY,SUCCESS,,4.75,D0001067,33.65,9.51,NEW
1000183,509530,M0358,B007,2026-05-10 02:17:46,345.67,INR,UPI,P2M,SUCCESS,,3.23,D0011491,26.48,25.18,NEW
1000184,513220,M0136,B002,2026-03-29 07:53:39,1733.04,INR,UPI,P2M,SUCCESS,,5.59,D0006156,100.0,60.22,OLD
1000185,511364,M0182,B005,2026-05-23 10:52:09,1589.03,INR,CARD,P2P,SUCCESS,,5.49,D0002913,31.11,64.05,OLD
1000186,500299,M0051,B002,2026-07-11 03:21:26,5409.9,INR,NETBANKING,P2M,SUCCESS,,5.48,D0001241,0.0,0.0,NEW
1000187,503243,M0342,B007,2026-01-28 04:02:43,3149.13,INR,UPI,P2M,SUCCESS,,6.05,D0009552,7.34,55.25,NEW
1000188,508677,M0146,B003,2026-03-22 12:53:31,5869.12,INR,NETBANKING,P2M,SUCCESS,,7.26,D0012675,16.75,42.01,OLD
1000189,501522,M0332,B009,2026-06-20 10:41:39,1445.68,INR,UPI,P2M,SUCCESS,,3.92,D0001782,31.61,43.7,NEW
