experiment_id,customer_id,experiment_group,assignment_date,eligible_flag
PAY_CONFIRM_V2,102673,TREATMENT,2026-03-01,Y
PAY_CONFIRM_V2,104902,TREATMENT,2026-03-17,Y
PAY_CONFIRM_V2,107566,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,105852,TREATMENT,2026-03-27,Y
PAY_CONFIRM_V2,108104,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,109570,CONTROL,2026-03-29,Y
PAY_CONFIRM_V2,106261,TREATMENT,2026-03-17,Y
PAY_CONFIRM_V2,108813,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,107940,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,107174,TREATMENT,2026-03-21,Y
PAY_CONFIRM_V2,102566,CONTROL,2026-03-05,Y
PAY_CONFIRM_V2,100741,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,106927,TREATMENT,2026-03-20,Y
PAY_CONFIRM_V2,103728,TREATMENT,2026-03-29,Y
PAY_CONFIRM_V2,106616,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,101470,CONTROL,2026-03-21,Y
PAY_CONFIRM_V2,109198,TREATMENT,2026-03-14,Y
PAY_CONFIRM_V2,105586,TREATMENT,2026-03-06,Y
PAY_CONFIRM_V2,105253,CONTROL,2026-03-19,Y
PAY_CONFIRM_V2,107763,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,105296,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,102104,TREATMENT,2026-03-15,Y
PAY_CONFIRM_V2,107525,CONTROL,2026-03-20,Y
PAY_CONFIRM_V2,101966,CONTROL,2026-03-11,Y
PAY_CONFIRM_V2,108534,CONTROL,2026-03-21,Y
PAY_CONFIRM_V2,108597,CONTROL,2026-03-02,Y
PAY_CONFIRM_V2,101091,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,100956,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,101918,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,106029,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,102401,TREATMENT,2026-03-10,Y
PAY_CONFIRM_V2,107843,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,108796,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,107086,CONTROL,2026-03-12,Y
PAY_CONFIRM_V2,106175,CONTROL,2026-03-10,Y
PAY_CONFIRM_V2,102427,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,107197,CONTROL,2026-03-27,Y
PAY_CONFIRM_V2,108170,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,107543,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,109297,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,107765,CONTROL,2026-03-19,Y
PAY_CONFIRM_V2,103569,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,108322,CONTROL,2026-03-08,Y
PAY_CONFIRM_V2,108506,TREATMENT,2026-03-17,Y
PAY_CONFIRM_V2,104389,TREATMENT,2026-03-07,Y
PAY_CONFIRM_V2,108196,TREATMENT,2026-03-09,Y
PAY_CONFIRM_V2,106980,TREATMENT,2026-03-01,Y
PAY_CONFIRM_V2,101288,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,104260,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,100788,CONTROL,2026-03-26,Y
PAY_CONFIRM_V2,108079,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,108184,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,104415,CONTROL,2026-03-03,Y
PAY_CONFIRM_V2,105290,CONTROL,2026-03-09,Y
PAY_CONFIRM_V2,108934,TREATMENT,2026-03-14,Y
PAY_CONFIRM_V2,107665,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,103590,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,109958,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,106885,CONTROL,2026-03-12,Y
PAY_CONFIRM_V2,108758,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,103926,CONTROL,2026-03-10,Y
PAY_CONFIRM_V2,105002,CONTROL,2026-03-25,Y
PAY_CONFIRM_V2,101912,CONTROL,2026-03-21,Y
PAY_CONFIRM_V2,103162,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,104676,TREATMENT,2026-03-25,Y
PAY_CONFIRM_V2,103355,CONTROL,2026-03-03,Y
PAY_CONFIRM_V2,109780,CONTROL,2026-03-30,Y
PAY_CONFIRM_V2,103529,CONTROL,2026-03-21,Y
PAY_CONFIRM_V2,101588,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,104127,CONTROL,2026-03-10,Y
PAY_CONFIRM_V2,102992,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,103867,CONTROL,2026-03-25,Y
PAY_CONFIRM_V2,100262,CONTROL,2026-03-20,Y
PAY_CONFIRM_V2,103930,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,106300,CONTROL,2026-03-26,Y
PAY_CONFIRM_V2,101639,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,105567,CONTROL,2026-03-13,Y
PAY_CONFIRM_V2,102110,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,102886,CONTROL,2026-03-19,Y
PAY_CONFIRM_V2,100656,TREATMENT,2026-03-14,Y
PAY_CONFIRM_V2,109725,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,100520,TREATMENT,2026-03-01,Y
PAY_CONFIRM_V2,105818,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,106727,CONTROL,2026-03-08,Y
PAY_CONFIRM_V2,100940,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,101212,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,100384,TREATMENT,2026-03-01,Y
PAY_CONFIRM_V2,102908,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,109974,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,101431,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,100734,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,107151,TREATMENT,2026-03-23,Y
PAY_CONFIRM_V2,104818,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,104107,CONTROL,2026-03-29,Y
PAY_CONFIRM_V2,109007,TREATMENT,2026-03-18,Y
PAY_CONFIRM_V2,103105,CONTROL,2026-03-18,Y
PAY_CONFIRM_V2,106366,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,101823,CONTROL,2026-03-30,Y
PAY_CONFIRM_V2,101507,TREATMENT,2026-03-01,Y
PAY_CONFIRM_V2,106416,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,100773,CONTROL,2026-03-03,Y
PAY_CONFIRM_V2,104952,TREATMENT,2026-03-27,Y
PAY_CONFIRM_V2,102762,TREATMENT,2026-03-20,Y
PAY_CONFIRM_V2,106707,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,107400,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,102972,CONTROL,2026-03-13,Y
PAY_CONFIRM_V2,103873,CONTROL,2026-03-09,Y
PAY_CONFIRM_V2,101294,TREATMENT,2026-03-01,Y
PAY_CONFIRM_V2,103853,TREATMENT,2026-03-07,Y
PAY_CONFIRM_V2,103727,CONTROL,2026-03-06,Y
PAY_CONFIRM_V2,102045,CONTROL,2026-03-01,Y
PAY_CONFIRM_V2,109551,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,109798,CONTROL,2026-03-21,Y
PAY_CONFIRM_V2,102062,CONTROL,2026-03-20,Y
PAY_CONFIRM_V2,104582,TREATMENT,2026-03-26,Y
PAY_CONFIRM_V2,102539,CONTROL,2026-03-24,Y
PAY_CONFIRM_V2,103452,TREATMENT,2026-03-17,Y
PAY_CONFIRM_V2,104341,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,109026,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,103112,CONTROL,2026-03-13,Y
PAY_CONFIRM_V2,103665,TREATMENT,2026-03-13,Y
PAY_CONFIRM_V2,107913,CONTROL,2026-03-19,Y
PAY_CONFIRM_V2,106211,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,103820,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,103394,CONTROL,2026-03-24,Y
PAY_CONFIRM_V2,107009,CONTROL,2026-03-10,Y
PAY_CONFIRM_V2,104176,TREATMENT,2026-03-29,Y
PAY_CONFIRM_V2,101141,CONTROL,2026-03-29,Y
PAY_CONFIRM_V2,104096,CONTROL,2026-03-12,Y
PAY_CONFIRM_V2,107290,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,107944,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,102088,CONTROL,2026-03-20,Y
PAY_CONFIRM_V2,105385,CONTROL,2026-03-16,Y
PAY_CONFIRM_V2,107697,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,101943,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,100116,TREATMENT,2026-03-16,Y
PAY_CONFIRM_V2,100052,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,108340,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,105227,CONTROL,2026-03-18,Y
PAY_CONFIRM_V2,103973,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,103933,TREATMENT,2026-03-29,Y
PAY_CONFIRM_V2,107879,CONTROL,2026-03-30,Y
PAY_CONFIRM_V2,103286,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,103683,TREATMENT,2026-03-15,Y
PAY_CONFIRM_V2,100268,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,109560,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,100099,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,108787,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,107249,TREATMENT,2026-03-25,Y
PAY_CONFIRM_V2,103354,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,100352,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,103606,CONTROL,2026-03-13,Y
PAY_CONFIRM_V2,106973,TREATMENT,2026-03-29,Y
PAY_CONFIRM_V2,104457,CONTROL,2026-03-07,Y
PAY_CONFIRM_V2,101662,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,105664,TREATMENT,2026-03-18,Y
PAY_CONFIRM_V2,101469,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,106656,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,104361,CONTROL,2026-03-29,Y
PAY_CONFIRM_V2,106751,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,103001,TREATMENT,2026-03-15,Y
PAY_CONFIRM_V2,107939,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,108551,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,102359,CONTROL,2026-03-01,Y
PAY_CONFIRM_V2,101800,TREATMENT,2026-03-18,Y
PAY_CONFIRM_V2,102489,TREATMENT,2026-03-01,Y
PAY_CONFIRM_V2,101118,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,103070,CONTROL,2026-03-12,Y
PAY_CONFIRM_V2,103387,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,108921,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,109553,TREATMENT,2026-03-09,Y
PAY_CONFIRM_V2,105326,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,102638,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,106792,CONTROL,2026-03-25,Y
PAY_CONFIRM_V2,100536,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,104507,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,101834,TREATMENT,2026-03-18,Y
PAY_CONFIRM_V2,101888,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,100811,TREATMENT,2026-03-25,Y
PAY_CONFIRM_V2,109719,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,102903,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,106815,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,108913,CONTROL,2026-03-18,Y
PAY_CONFIRM_V2,102496,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,104735,CONTROL,2026-03-26,Y
PAY_CONFIRM_V2,107685,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,102463,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,102772,TREATMENT,2026-03-13,Y
PAY_CONFIRM_V2,103567,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,101508,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,108826,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,101875,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,100924,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,105646,CONTROL,2026-03-13,Y
PAY_CONFIRM_V2,106380,TREATMENT,2026-03-26,Y
PAY_CONFIRM_V2,108503,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,106099,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,102479,CONTROL,2026-03-21,Y
PAY_CONFIRM_V2,104586,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,101466,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,107605,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,107440,CONTROL,2026-03-26,Y
PAY_CONFIRM_V2,108587,CONTROL,2026-03-19,Y
PAY_CONFIRM_V2,104480,CONTROL,2026-03-10,Y
PAY_CONFIRM_V2,100880,CONTROL,2026-03-25,Y
PAY_CONFIRM_V2,102313,TREATMENT,2026-03-23,Y
PAY_CONFIRM_V2,108923,TREATMENT,2026-03-27,Y
PAY_CONFIRM_V2,107361,TREATMENT,2026-03-11,Y
PAY_CONFIRM_V2,101960,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,103597,TREATMENT,2026-03-25,Y
PAY_CONFIRM_V2,102490,TREATMENT,2026-03-13,Y
PAY_CONFIRM_V2,104425,TREATMENT,2026-03-27,Y
PAY_CONFIRM_V2,103635,TREATMENT,2026-03-14,Y
PAY_CONFIRM_V2,104310,TREATMENT,2026-03-20,Y
PAY_CONFIRM_V2,105638,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,102533,CONTROL,2026-03-24,Y
PAY_CONFIRM_V2,100481,TREATMENT,2026-03-17,Y
PAY_CONFIRM_V2,108831,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,106592,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,107409,TREATMENT,2026-03-27,Y
PAY_CONFIRM_V2,104845,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,105053,TREATMENT,2026-03-29,Y
PAY_CONFIRM_V2,109202,TREATMENT,2026-03-29,Y
PAY_CONFIRM_V2,100563,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,106996,TREATMENT,2026-03-09,Y
PAY_CONFIRM_V2,100941,TREATMENT,2026-03-06,Y
PAY_CONFIRM_V2,100968,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,104709,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,106474,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,108800,CONTROL,2026-03-06,Y
PAY_CONFIRM_V2,104445,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,106178,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,107576,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,102770,TREATMENT,2026-03-07,Y
PAY_CONFIRM_V2,101444,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,107554,CONTROL,2026-03-08,Y
PAY_CONFIRM_V2,103675,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,101503,TREATMENT,2026-03-15,Y
PAY_CONFIRM_V2,109508,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,108102,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,103661,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,106414,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,109754,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,109762,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,104827,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,109064,CONTROL,2026-03-03,Y
PAY_CONFIRM_V2,104005,CONTROL,2026-03-01,Y
PAY_CONFIRM_V2,106958,CONTROL,2026-03-12,Y
PAY_CONFIRM_V2,102801,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,103548,CONTROL,2026-03-30,Y
PAY_CONFIRM_V2,108446,CONTROL,2026-03-01,Y
PAY_CONFIRM_V2,109939,CONTROL,2026-03-07,Y
PAY_CONFIRM_V2,103726,TREATMENT,2026-03-23,Y
PAY_CONFIRM_V2,104287,TREATMENT,2026-03-13,Y
PAY_CONFIRM_V2,102800,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,108157,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,102826,TREATMENT,2026-03-20,Y
PAY_CONFIRM_V2,107075,CONTROL,2026-03-03,Y
PAY_CONFIRM_V2,109768,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,106611,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,109336,TREATMENT,2026-03-10,Y
PAY_CONFIRM_V2,107535,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,105794,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,101652,CONTROL,2026-03-07,Y
PAY_CONFIRM_V2,103465,TREATMENT,2026-03-21,Y
PAY_CONFIRM_V2,109792,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,103160,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,103709,CONTROL,2026-03-10,Y
PAY_CONFIRM_V2,100112,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,102259,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,104840,CONTROL,2026-03-30,Y
PAY_CONFIRM_V2,107396,CONTROL,2026-03-11,Y
PAY_CONFIRM_V2,100082,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,106222,CONTROL,2026-03-11,Y
PAY_CONFIRM_V2,104240,TREATMENT,2026-03-07,Y
PAY_CONFIRM_V2,102990,TREATMENT,2026-03-26,Y
PAY_CONFIRM_V2,101760,CONTROL,2026-03-27,Y
PAY_CONFIRM_V2,100921,CONTROL,2026-03-05,Y
PAY_CONFIRM_V2,108283,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,104981,CONTROL,2026-03-30,Y
PAY_CONFIRM_V2,105118,CONTROL,2026-03-24,Y
PAY_CONFIRM_V2,105264,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,106900,TREATMENT,2026-03-16,Y
PAY_CONFIRM_V2,100139,TREATMENT,2026-03-18,Y
PAY_CONFIRM_V2,106787,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,102290,TREATMENT,2026-03-27,Y
PAY_CONFIRM_V2,101636,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,101283,TREATMENT,2026-03-13,Y
PAY_CONFIRM_V2,105146,CONTROL,2026-03-09,Y
PAY_CONFIRM_V2,105871,CONTROL,2026-03-09,Y
PAY_CONFIRM_V2,104544,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,101071,CONTROL,2026-03-25,Y
PAY_CONFIRM_V2,102875,CONTROL,2026-03-30,Y
PAY_CONFIRM_V2,103599,CONTROL,2026-03-02,Y
PAY_CONFIRM_V2,108563,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,105116,TREATMENT,2026-03-09,Y
PAY_CONFIRM_V2,109520,TREATMENT,2026-03-15,Y
PAY_CONFIRM_V2,108167,CONTROL,2026-03-11,Y
PAY_CONFIRM_V2,101832,CONTROL,2026-03-03,Y
PAY_CONFIRM_V2,102449,TREATMENT,2026-03-10,Y
PAY_CONFIRM_V2,104269,TREATMENT,2026-03-23,Y
PAY_CONFIRM_V2,104150,TREATMENT,2026-03-18,Y
PAY_CONFIRM_V2,104100,CONTROL,2026-03-12,Y
PAY_CONFIRM_V2,104009,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,102839,TREATMENT,2026-03-15,Y
PAY_CONFIRM_V2,107633,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,100771,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,103084,TREATMENT,2026-03-26,Y
PAY_CONFIRM_V2,107623,CONTROL,2026-03-11,Y
PAY_CONFIRM_V2,107013,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,105254,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,106572,TREATMENT,2026-03-27,Y
PAY_CONFIRM_V2,108050,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,108120,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,102982,CONTROL,2026-03-27,Y
PAY_CONFIRM_V2,107426,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,105798,CONTROL,2026-03-25,Y
PAY_CONFIRM_V2,108690,CONTROL,2026-03-08,Y
PAY_CONFIRM_V2,103594,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,104749,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,104965,TREATMENT,2026-03-23,Y
PAY_CONFIRM_V2,109638,CONTROL,2026-03-22,Y
PAY_CONFIRM_V2,104901,CONTROL,2026-03-03,Y
PAY_CONFIRM_V2,105062,TREATMENT,2026-03-07,Y
PAY_CONFIRM_V2,109599,CONTROL,2026-03-09,Y
PAY_CONFIRM_V2,109152,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,100530,CONTROL,2026-03-18,Y
PAY_CONFIRM_V2,102366,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,103758,CONTROL,2026-03-09,Y
PAY_CONFIRM_V2,109040,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,108659,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,105246,TREATMENT,2026-03-23,Y
PAY_CONFIRM_V2,105755,CONTROL,2026-03-11,Y
